Id,Sex,Sex Code,State,State Code,Year,Year Code,Ten-Year Age Groups,Ten-Year Age Groups Code,% of Total Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,State_Age_Combo,Year_dt,temp_sensor_readout,qc_flag_batch_3,legacy_index_offset,adjusted_pop_trend,confidence_spread_metric,Underlying_Cause,Contributing_Cause,Manner_of_Death,temporal_alignment_proxy,Target
10,F,F,Alabama,1.0,,,85+ years,85+,0.02,49256.0,15845.79,15494.24,,179.36,Alabama_85+ years,,1.8247841607640776,-0.6845499918394365,-2,,,9395,0.030379780716875,2,async,
11,F,F,Alabama,1.0,,,< 1 year,1,0.0,err_741,,823.12,1038.07,54.84,Alabama_< 1 year,,0.8488630712494816,-0.4100965462009485,-7,,1.2611405384391097,1174,0.0872134863533597,1,sync,
12,F,F,Alabama,1.0,,,,1-4,0.0,116224.0,27.53,18.83,,4.87,Alabama_1-4 years,,0.1159287120261814,-0.4043214423598313,-31,,,2950,0.0131867046053283,1,sync,
13,,F,Alabama,1.0,,2007.0,5-14 years,5-14,0.0,err_991,17.31,12.96,22.64,2.38,Alabama_5-14 years,,-0.3702067909359127,-0.1483290700738391,-20,,1.7469135802469136,6088,0.08123709696272,3,async,53.0
14,F,F,Alabama,-91.43281059153604,2032.8756739297296,1981.1243260702704,15-24 years,15-24,0.0797377299645494,2881455.4615373546,,-23941.870020844348,-25432.384394780453,491.63319803925634,Alabama_15-24 years,1970-01-01 00:00:00.000002032,0.897337155059005,0.0913937413599964,2,2928820.356635625,1.062255553665542,2536,-0.0623720889851882,1,sync,-30639.990927079107
15,F,F,Alabama,1.0,,,25-34 years,25-34,0.0,302088.0,,89.95,,5.79,Alabama_25-34 years,,0.5284200276273566,-0.1170708335342795,11,,,7929,-0.0834887870280254,3,pending,
16,F,F,Alabama,1.0,2007.0,2007.0,,35-44,0.0,325948.0,,202.39,,8.19,Alabama_35-44 years,1970-01-01 00:00:00.000002007,1.1986666559585788,0.7812666079152574,-47,327088.818,,7052,0.0412803758562144,1,pending,
17,F,F,Alabama,1.0,2007.0,,45-54 years,45-54,0.0,350063.0,429.92,408.2,451.64,11.08,Alabama_45-54 years,1970-01-01 00:00:00.000002007,-0.943732971641234,0.1512967826754531,-27,351288.2205,1.1064184223419893,2735,0.0131175884139004,4,async,1505.0
18,,F,Alabama,1.0,,2007.0,55-64 years,,0.01,282783.0,857.19,823.07,891.32,17.41,Alabama_55-64 years,NULL_TIMESTAMP,0.4406791562277629,0.1690750316635889,43,,1.082921258216191,6430,-0.0823481764278801,3,pending,2424.0
19,F,F,Alabama,1.0,2007.0,2007.0,65-74 years,65-74,0.01,186312.0,,1877.57,2004.09,32.28,Alabama_65-74 years,1970-01-01 00:00:00.000002007,0.4419911390862842,0.1548838227308163,-33,186964.092,1.0673849709997496,1548,0.1577979253585236,3,async,3616.0
20,F,F,Alabama,1.0,,2007.0,75-84 years,75-84,0.02,126043.0,,4968.12,,63.56,Alabama_75-84 years,,0.9280119723964098,-0.1599032459748788,0,,,8843,0.0769735877980702,4,pending,6419.0
21,F,F,Alabama,1.0,2007.0,,85+ years,85+,0.02,50174.0,,14952.57,15636.98,174.6,Alabama_85+ years,1970-01-01 00:00:00.000002007,1.0970042770991624,0.1975564560115907,-16,50349.609,1.0457720646016035,8405,-0.0993958092898313,3,async,7674.0
22,F,F,Alabama,1.0,2008.0,2008.0,< 1 year,,0.0,31542.0,833.81,733.04,934.58,51.41,Alabama_< 1 year,1970-01-01 00:00:00.000002008,0.5543649628605958,0.4368161697579316,46,31668.168,1.2749372476263234,9429,0.0519656967844256,2,sync,
23,F,,Alabama,1.0,,,1-4 years,,0.0,118239.0,27.91,19.21,39.2,4.86,Alabama_1-4 years,NULL_TIMESTAMP,0.606650225116363,-0.5543169830670508,-10,,2.040603852160334,1812,-0.1981346982694405,4,async,33.0
24,F,F,Alabama,1.0,,,5-14 years,5-14,0.0,305970.0,18.96,14.39,24.51,2.49,Alabama_5-14 years,,0.4790432092770608,-0.8840832024492439,6,,1.7032661570535097,4765,0.0923171787663626,3,async,58.0
25,F,F,Alabama,1.0,,2008.0,15-24 years,15-24,0.0,,,45.24,,3.99,Alabama_15-24 years,,-1.3115170644294458,0.5652625347239235,24,,,8269,0.1926240411491957,3,async,177.0
26,F,F,Alabama,1.0,2008.0,,25-34 years,25-34,0.0,304221.0,94.01,83.12,,5.56,Alabama_25-34 years,1970-01-01 00:00:00.000002008,0.545642995185511,0.1209491980268256,42,305437.884,,4263,0.0676141921043588,1,sync,286.0
27,F,F,Alabama,1.0,2008.0,2008.0,,35-44,0.0,322821.0,209.09,193.32,,8.05,Alabama_35-44 years,1970-01-01 00:00:00.000002008,1.0100530439544289,0.1812909818449678,-25,324112.284,,5510,0.1059508282763814,4,sync,675.0
28,F,F,Alabama,1.0,2008.0,2008.0,45-54 years,45-54,0.0,353830.0,449.93,427.83,472.04,11.28,Alabama_45-54 years,1970-01-01 00:00:00.000002008,-1.6194636649834593,-0.624023466852021,43,355245.32,1.1033354369726294,9669,0.094920963309288,3,sync,1592.0
29,F,F,Alabama,93.43281059153604,1982.1243260702704,,55-64 years,55-64,-0.0697377299645494,-2260984.4615373546,25629.67418079359,-23142.110020844342,,504.82319803925634,Alabama_55-64 years,1970-01-01 00:00:00.000001982,0.5727958798900002,-0.2076716521952082,-15,-2240776.151040042,,8533,0.0180286240818192,4,pending,33411.99092707911
30,F,F,,1.0,2008.0,,65-74 years,65-74,0.01,192543.0,,1905.21,2030.53,31.97,Alabama_65-74 years,1970-01-01 00:00:00.000002008,1.0615861392080568,-0.0254683053248242,49,193313.172,1.0657775258370468,6381,-0.0054428773106633,2,sync,3789.0
31,F,F,Alabama,93.43281059153604,2033.8756739297296,,75-84 years,75-84,-0.0597377299645494,2677254.4615373546,29892.364180793596,-18970.340020844345,30775.934394780455,-423.4731980392563,Alabama_75-84 years,1970-01-01 00:00:00.000002033,0.7369158850846476,-0.6630222693326534,19,2722601.361120331,-1.6223185436299132,9210,0.0089917555590743,3,sync,37340.99092707911
32,F,F,,1.0,2008.0,2008.0,85+ years,85+,0.02,51183.0,15800.17,15455.8,,175.7,Alabama_85+ years,1970-01-01 00:00:00.000002008,0.1451371672706752,0.0649505301810347,26,51387.732,,6390,-0.0095506789083855,1,pending,
33,F,F,Alabama,-91.43281059153604,,2034.8756739297296,< 1 year,1,-0.0797377299645494,2581481.4615373546,-23955.364180793596,-23306.100020844347,,538.2031980392563,Alabama_< 1 year,,0.2595635206775127,0.2772560543529915,34,,,7512,0.0113038290754344,2,sync,
34,F,F,Alabama,1.0,2009.0,2009.0,1-4 years,,0.0,,31.8,22.51,43.65,5.16,Alabama_1-4 years,1970-01-01 00:00:00.000002009,-1.4046127306848255,0.0614848550550315,16,,1.9391381608174143,2210,-0.0335125879579541,1,async,38.0
35,,F,Alabama,93.43281059153604,,2034.8756739297296,5-14 years,5-14,0.0797377299645494,-2244393.4615373546,,-23981.620020844348,25523.864394780456,-484.9931980392563,Alabama_5-14 years,,0.1123274258481716,0.286051184552294,6,,-1.0643094324985394,3595,0.0053859572689242,4,pending,-30788.990927079107
36,F,F,Alabama,1.0,,,15-24 years,15-24,0.0,336154.0,,49.31,,4.13,Alabama_15-24 years,,-0.8220086090998281,0.7996204096568841,-30,,,4605,0.0738768466951097,3,sync,193.0
37,F,,Alabama,1.0,2009.0,2009.0,25-34 years,25-34,0.0,306876.0,104.28,92.85,115.7,5.83,Alabama_25-34 years,NULL_TIMESTAMP,-0.2060419356194418,0.7315974383975253,-27,308256.942,1.2460958535271944,7839,0.060167316127855,3,sync,
38,F,F,Alabama,1.0,2009.0,2009.0,35-44 years,35-44,0.0,319030.0,,209.2,242.17,8.41,Alabama_35-44 years,1970-01-01 00:00:00.000002009,-1.1457376777482329,-0.501083199797282,-33,320465.635,1.1576003824091778,4976,0.0411744556008886,1,sync,720.0
39,F,F,Alabama,93.43281059153604,,,45-54 years,45-54,-0.0797377299645494,2906399.4615373546,25192.614180793596,-23566.950020844342,25973.044394780452,-476.0931980392563,Alabama_45-54 years,,-0.1907984334588377,-0.6876790490750557,-50,,-1.102096129189733,1060,-0.1111023186556299,3,pending,
40,F,F,Alabama,1.0,,2009.0,55-64 years,55-64,0.01,298994.0,859.55,826.32,892.78,16.96,Alabama_55-64 years,,-0.3724352871747989,-0.4159286171880016,28,,1.0804288895343208,8474,-0.0661958710068299,4,async,2570.0
41,,F,Alabama,1.0,2009.0,,65-74 years,65-74,0.01,197699.0,1912.5,1851.54,1973.46,31.1,Alabama_65-74 years,1970-01-01 00:00:00.000002009,-0.4255790390040121,0.0140950023285805,48,198588.6455,1.0658478887844711,3441,0.0826310945809508,3,async,3781.0
42,,,Alabama,1.0,,2009.0,75-84 years,75-84,0.02,125293.0,4996.29,4872.52,5120.06,63.15,Alabama_75-84 years,NULL_TIMESTAMP,-1.0681877262834485,-0.3699682558160637,46,,1.0508032804380485,8616,-0.0434686385738773,2,pending,6260.0
43,F,F,Alabama,1.0,,,,85+,0.02,err_532,14983.32,14651.12,15315.52,169.49,Alabama_85+ years,,1.0459587987075871,0.7904461829967699,2,,1.0453480689530903,5191,0.0799156200636631,1,sync,7815.0
44,F,F,Alabama,1.0,,2010.0,< 1 year,,0.0,err_532,800.92,698.95,902.89,52.03,Alabama_< 1 year,,1.044244079193696,-0.2959254959386884,-5,,1.2917805279347592,5502,0.0135602308955194,3,sync,
45,F,F,Alabama,1.0,2010.0,2010.0,1-4 years,1-4,0.0,120101.0,,16.85,35.66,4.56,Alabama_1-4 years,1970-01-01 00:00:00.000002010,0.6436854652120408,-0.2612816697528412,-27,120701.505,2.1163204747774476,5624,0.0607567218224622,4,async,30.0
46,F,F,Alabama,1.0,2010.0,,5-14 years,5-14,0.0,307127.0,19.54,14.91,,2.52,Alabama_5-14 years,1970-01-01 00:00:00.000002010,-0.0488405004879037,0.4968083370699398,-41,308662.63499999995,,6608,-0.0958301013896051,3,async,
47,F,F,Alabama,93.43281059153604,,,15-24 years,15-24,-0.0797377299645494,,-24686.414180793596,24043.060020844347,-25436.744394780453,491.45319803925634,Alabama_15-24 years,,-0.3161656027149982,-0.0086307625877082,-34,,-1.057966181206878,9065,0.047011610867938,3,sync,-30649.990927079107
48,F,F,Alabama,1.0,2010.0,2010.0,,25-34,0.0,308782.0,109.79,98.1,121.47,5.96,Alabama_25-34 years,1970-01-01 00:00:00.000002010,-0.4430727099280966,-0.3479311670782931,-21,310325.91,1.2382262996941895,8213,0.0194431069781584,4,async,339.0
49,F,F,Alabama,1.0,2010.0,,35-44 years,35-44,0.0,,215.38,199.19,231.57,8.26,Alabama_35-44 years,1970-01-01 00:00:00.000002010,-0.5814039091958704,-0.2918747060690725,-26,,1.1625583613635222,9010,0.0095523321705844,2,pending,
50,F,F,Alabama,-91.43281059153604,1984.1243260702704,2035.8756739297296,,45-54,-0.0797377299645494,err_974,,24419.760020844347,-25032.214394780454,498.5531980392563,Alabama_45-54 years,1970-01-01 00:00:00.000001984,-0.0562708661532507,-0.814860075738637,47,,-1.0250802781605275,4682,-0.245656729197265,2,sync,32433.990927079107
51,F,F,Alabama,1.0,2010.0,2010.0,,55-64,0.01,,853.98,821.28,,16.68,Alabama_55-64 years,1970-01-01 00:00:00.000002010,-0.1640215766384374,-0.2374869484931323,-44,,,1827,0.242095933447877,3,async,2620.0
52,,F,Alabama,1.0,,2010.0,,65-74,0.01,200465.0,,1840.23,,30.79,Alabama_65-74 years,,-1.3527383589450754,-0.7120526294033639,-45,,,1978,-0.0436808297592411,4,pending,
53,F,,Alabama,1.0,2010.0,,,75-84,0.02,err_396,,4913.53,5161.39,63.23,Alabama_75-84 years,1970-01-01 00:00:00.000002010,2.3399573929752613,-0.6436094788315739,36,,1.0504443851976075,4902,-0.0194610287818684,2,sync,6347.0
54,,F,Alabama,1.0,2010.0,,85+ years,85+,0.02,52825.0,,14960.4,,170.15,Alabama_85+ years,1970-01-01 00:00:00.000002010,0.5638815942968911,0.2888328928148319,-14,53089.12499999999,,7609,-0.0372337303241108,2,pending,8079.0
55,F,F,Alabama,1.0,2011.0,2011.0,< 1 year,1,0.0,29058.0,,576.88,765.26,48.06,Alabama_< 1 year,1970-01-01 00:00:00.000002011,-0.5226841324468169,0.3688952312731846,-36,29217.819000000003,1.3265497157121064,7115,0.0267831556975398,4,async,
56,F,F,Alabama,1.0,2011.0,,1-4 years,,0.0,,40.87,30.24,,5.84,Alabama_1-4 years,1970-01-01 00:00:00.000002011,-1.3007080140218024,1.270356421771801,30,,,6188,-0.1076600836703402,2,pending,
57,F,F,Alabama,1.0,2011.0,2011.0,5-14 years,5-14,0.0,306956.0,,13.78,,2.44,Alabama_5-14 years,1970-01-01 00:00:00.000002011,-2.2400287624621753,0.6902444655334314,9,308644.25800000003,,2007,0.1724941748678013,4,sync,56.0
58,F,F,Alabama,1.0,2011.0,2011.0,15-24 years,15-24,0.0,337336.0,,38.44,52.86,3.68,Alabama_15-24 years,NULL_TIMESTAMP,0.8439817265686314,0.5250790880115185,-1,339191.348,1.375130072840791,9446,-0.067760573175794,2,async,
59,,F,Alabama,1.0,2011.0,2011.0,25-34 years,25-34,0.0,311918.0,,107.45,131.72,6.19,Alabama_25-34 years,1970-01-01 00:00:00.000002011,0.4163345863746583,-0.2351172082768644,-13,313633.549,1.2258724988366685,9967,-0.1189881890038427,2,sync,373.0
60,,F,Alabama,1.0,,2011.0,35-44 years,,0.0,,208.09,192.05,,8.18,Alabama_35-44 years,,-0.1829527655490852,0.0753383768078495,15,,,8284,0.1224334523373218,2,pending,647.0
61,F,F,Alabama,1.0,2011.0,2011.0,45-54 years,,0.0,352123.0,456.66,434.34,478.98,11.39,Alabama_45-54 years,1970-01-01 00:00:00.000002011,0.1874810666053928,0.7237960871881233,37,354059.6765,1.102776626605885,8197,0.0322854213148822,4,sync,
62,F,F,Alabama,1.0,,2011.0,,55-64,0.01,318639.0,859.28,827.09,891.47,16.42,Alabama_55-64 years,,0.4496449697680433,-0.0720502865507278,-20,,1.0778391710696538,5729,-0.0093447193421559,1,async,2738.0
63,F,F,Alabama,1.0,,2011.0,65-74 years,65-74,0.01,205469.0,1867.43,1808.35,,30.15,Alabama_65-74 years,,-0.6997018688694062,0.4788222006695291,8,,,8810,-0.0315556490889019,3,pending,3837.0
64,F,F,Alabama,1.0,2011.0,,75-84 years,75-84,0.02,126926.0,4887.89,4766.26,,62.06,Alabama_75-84 years,1970-01-01 00:00:00.000002011,1.2980268740890557,0.3225605860507023,1,127624.093,,3401,-0.0790440682012812,2,sync,6204.0
65,F,,Alabama,1.0,2011.0,2011.0,85+ years,85+,0.02,err_493,,14873.55,15531.28,167.79,Alabama_85+ years,1970-01-01 00:00:00.000002011,0.260993449388872,0.6757280837654536,-33,,1.044221453519839,2307,-0.1310068683715463,3,async,8209.0
66,F,,Alabama,1.0,2012.0,2012.0,< 1 year,,0.0,err_768,838.06,733.76,942.37,53.22,Alabama_< 1 year,1970-01-01 00:00:00.000002012,0.5634690109371898,0.4959573468106082,-37,,1.284302769297863,2366,-0.1311376821758942,2,sync,248.0
67,F,F,Alabama,1.0,2012.0,2012.0,1-4 years,1-4,0.0,120004.0,,25.93,,5.46,Alabama_1-4 years,1970-01-01 00:00:00.000002012,-0.0126827052787953,-0.5044232984489243,-21,120724.024,,5272,0.0982392598038811,1,async,43.0
68,F,F,Alabama,1.0,,,5-14 years,5-14,0.0,307422.0,,9.57,,2.08,Alabama_5-14 years,,0.447061680426166,0.4867090894401376,35,,,4230,0.0654133738725269,1,pending,41.0
69,F,F,Alabama,1.0,2012.0,,15-24 years,15-24,0.0,334944.0,47.47,40.09,54.85,3.76,Alabama_15-24 years,1970-01-01 00:00:00.000002012,0.8310876159104308,-0.2189608456924348,-50,336953.664,1.3681716138687952,2734,0.0384529508207852,4,sync,
70,F,F,,-91.43281059153604,1986.1243260702704,1986.1243260702704,25-34 years,,0.0797377299645494,2864647.4615373546,24852.60418079359,24092.080020844347,,-481.4331980392563,Alabama_25-34 years,NULL_TIMESTAMP,-0.6539585433294655,0.0496797981328083,2,2844773.004487395,,7715,0.0965796827950153,1,sync,31183.990927079107
71,F,F,Alabama,1.0,,,35-44 years,,0.0,310431.0,224.53,207.86,241.2,8.5,Alabama_35-44 years,,1.05008513342577,-0.2586048168183234,-39,,1.160396420667757,9254,0.1171451653154084,2,async,697.0
72,F,,Alabama,1.0,,2012.0,45-54 years,45-54,0.0,err_411,,440.43,485.77,11.57,Alabama_45-54 years,,0.8260234590775607,0.7780631526988236,-3,,1.1029448493517695,4920,-0.0554668639235506,1,pending,
73,F,F,Alabama,1.0,2012.0,2012.0,55-64 years,55-64,0.01,321543.0,875.47,843.12,,16.5,Alabama_55-64 years,1970-01-01 00:00:00.000002012,0.4341353870997669,0.0052757736653519,-50,323472.25800000003,,4953,0.0370296310166472,1,async,
74,,F,,1.0,2012.0,,65-74 years,65-74,0.01,217054.0,1845.16,1788.02,1902.31,29.16,Alabama_65-74 years,1970-01-01 00:00:00.000002012,0.9107724583729556,0.3235627896798811,-29,218356.324,1.063919866668158,6569,-0.0240548902869854,3,async,4005.0
75,F,F,Alabama,1.0,2012.0,2012.0,75-84 years,75-84,0.02,127441.0,,4783.42,5026.61,62.04,Alabama_75-84 years,NULL_TIMESTAMP,0.4430370088169193,-0.3569689878013085,-24,128205.646,1.050840193836209,8672,0.125402623794103,1,sync,6251.0
76,F,F,Alabama,1.0,2012.0,2012.0,85+ years,85+,0.02,err_688,,14746.63,15393.98,165.14,Alabama_85+ years,1970-01-01 00:00:00.000002012,-0.7183585617112029,-0.108952038260258,-42,,1.0438981652079151,3787,-0.0658832770559088,3,pending,8328.0
77,,F,Alabama,1.0,2013.0,2013.0,< 1 year,1,0.0,28555.0,784.45,681.72,887.18,52.41,Alabama_< 1 year,1970-01-01 00:00:00.000002013,1.2837027385575082,-0.7360303606936255,-21,28740.6075,1.3013847327348471,2486,-0.1119641495993293,1,pending,
78,,F,Alabama,1.0,2013.0,2013.0,,1-4,0.0,116743.0,,18.04,37.69,4.77,Alabama_1-4 years,1970-01-01 00:00:00.000002013,-0.1156001933657477,-0.051422472474912,-1,117501.8295,2.0892461197339247,2747,-0.0731183875670799,3,sync,31.0
79,F,,Alabama,1.0,2013.0,,5-14 years,5-14,0.0,err_770,,11.01,20.06,2.22,Alabama_5-14 years,NULL_TIMESTAMP,2.033359814004121,0.1552565107970979,40,,1.821980018165304,7708,0.1321093744424496,2,async,
80,F,F,Alabama,-91.43281059153604,,2038.8756739297296,15-24 years,15-24,0.0797377299645494,-2217034.4615373546,,-23949.100020844347,25562.424394780453,-483.3631980392563,Alabama_15-24 years,,-0.1051462585547625,-0.0649756022053394,-8,,-1.0673647181953363,1210,-0.0185124643116495,4,pending,
81,F,F,Alabama,1.0,,2013.0,25-34 years,25-34,0.0,,,93.77,116.41,5.78,Alabama_25-34 years,,0.7001699139826583,-0.4697356066267047,25,,1.241441825743841,7905,-0.0994448958780359,1,pending,
82,F,F,Alabama,1.0,2013.0,2013.0,35-44 years,35-44,0.0,310796.0,,195.85,228.23,8.26,Alabama_35-44 years,1970-01-01 00:00:00.000002013,1.4141364480534393,-0.531808965870285,6,312816.174,1.1653306101608374,3307,-0.0946288310593598,2,pending,
83,F,F,Alabama,1.0,2013.0,2013.0,45-54 years,45-54,0.0,341359.0,,440.89,,11.66,Alabama_45-54 years,NULL_TIMESTAMP,-0.2094496888354739,0.8678987334229088,-18,343577.8335,,9294,0.0451722831818183,1,sync,1583.0
84,F,F,Alabama,1.0,2013.0,,55-64 years,55-64,0.01,325850.0,,858.19,,16.53,Alabama_55-64 years,1970-01-01 00:00:00.000002013,-0.8548374631628973,-0.0648044077319116,-18,327968.02499999997,,8452,-0.2523564273065472,4,async,
85,F,F,,1.0,,2013.0,65-74 years,65-74,0.01,225166.0,1829.32,1773.45,,28.5,Alabama_65-74 years,,-0.3898726913040907,-0.516362714493585,1,,,9443,0.0580492596690282,3,pending,
86,F,F,Alabama,1.0,2013.0,2013.0,75-84 years,75-84,0.02,128948.0,,4688.46,4927.82,61.06,Alabama_75-84 years,1970-01-01 00:00:00.000002013,0.3781098850864025,-0.2896592124631461,-49,129786.162,1.0510530110100118,1105,-0.0588459127269377,3,sync,6200.0
87,F,F,Alabama,1.0,,2013.0,85+ years,85+,0.02,56120.0,14518.89,14203.63,14834.14,160.85,Alabama_85+ years,,1.0966612460706149,-0.2098517168510923,-41,,1.044390764896016,8476,0.1321972927905725,4,pending,8148.0
88,F,F,Alabama,-91.43281059153604,,,< 1 year,1,0.0797377299645494,2579365.4615373546,25544.054180793595,-23297.650020844347,26406.624394780458,540.4931980392563,Alabama_< 1 year,NULL_TIMESTAMP,0.1195723502274039,0.0726773012122366,-6,,-1.133445835573739,1702,-0.0120688298540904,1,async,31067.990927079107
89,F,,Alabama,1.0,,,1-4 years,1-4,0.0,,28.39,19.54,,4.94,Alabama_1-4 years,,-0.1781664354073538,0.6115427179860923,-40,,,7984,0.1159715186030986,1,pending,33.0
90,F,F,Alabama,1.0,2014.0,2014.0,5-14 years,5-14,0.0,304690.0,,12.18,21.63,2.32,Alabama_5-14 years,1970-01-01 00:00:00.000002014,0.7592551467868581,0.2860926318223806,8,306822.82999999996,1.7758620689655171,9469,-0.0547113938971044,2,pending,50.0
91,F,F,Alabama,1.0,2014.0,2014.0,15-24 years,15-24,0.0,332363.0,,44.02,,3.95,Alabama_15-24 years,1970-01-01 00:00:00.000002014,-1.643038098106412,-0.3872946956750091,6,334689.54099999997,,2973,-0.0908282980757844,1,sync,172.0
92,F,F,Alabama,1.0,2014.0,2014.0,25-34 years,25-34,0.0,318121.0,105.31,94.03,116.58,5.75,Alabama_25-34 years,1970-01-01 00:00:00.000002014,1.157840053231913,1.0197361774941898,30,320347.84699999995,1.239817079655429,7217,0.1003983049028003,4,sync,335.0
93,F,F,Alabama,1.0,,,35-44 years,35-44,0.0,310625.0,221.17,204.63,237.71,8.44,Alabama_35-44 years,NULL_TIMESTAMP,-0.4405492896167521,0.5744686843732659,-50,,1.161657625959048,7365,-2.3327237944689376e-06,1,async,
94,F,F,Alabama,1.0,2014.0,2014.0,45-54 years,45-54,0.0,337374.0,,454.19,500.83,11.9,Alabama_45-54 years,1970-01-01 00:00:00.000002014,-0.1338347593236113,1.2534124876472257,23,339735.61799999996,1.1026883022523613,3529,-0.0148640311796495,4,async,1611.0
95,F,F,Alabama,-91.43281059153604,1988.1243260702704,,55-64 years,55-64,0.0897377299645494,err_642,-23823.974180793597,-23107.770020844346,-24549.624394780458,-470.64319803925633,Alabama_55-64 years,1970-01-01 00:00:00.000001988,0.9736969460004956,-0.2845896510547684,13,,1.0623969501442798,5222,-0.0945615227203766,3,async,33869.99092707911
96,F,F,Alabama,-91.43281059153604,,2039.8756739297296,,65-74,-0.0697377299645494,-2316749.4615373546,26617.144180793595,25812.760020844347,27430.964394780454,515.6231980392563,Alabama_65-74 years,,-0.7426724307969165,-1.117135014432117,-14,,1.0626900948457032,9518,-0.0021542632007281,4,pending,
97,F,,Alabama,1.0,2014.0,2014.0,75-84 years,75-84,0.02,131005.0,4696.0,4578.66,4813.35,59.87,Alabama_75-84 years,1970-01-01 00:00:00.000002014,-1.316561279835745,0.4619797167450498,-26,131922.03499999997,1.0512573547719202,6265,-0.0880576594751005,3,async,6152.0
98,F,F,Alabama,1.0,2014.0,2014.0,85+ years,85+,0.02,56867.0,14220.9,13910.95,14530.85,158.14,Alabama_85+ years,1970-01-01 00:00:00.000002014,0.8160586516779987,0.4319707816667132,-43,57265.069,1.0445620176910997,3292,-0.066268897164037,4,pending,8087.0
99,F,F,Alabama,1.0,,2015.0,< 1 year,1,0.0,28422.0,759.97,658.62,,51.71,Alabama_< 1 year,,-1.0438379170563017,0.5174798831135958,45,,,9267,0.2721047503362162,4,pending,216.0
100,,F,Alabama,1.0,,,1-4 years,1-4,0.0,115443.0,,23.29,45.18,5.34,Alabama_1-4 years,,0.4417808662441336,-0.6914882570273975,-46,,1.939888364104766,8861,0.0502627854262784,2,pending,38.0
101,F,F,Alabama,-91.43281059153604,2040.8756739297296,,5-14 years,5-14,0.0797377299645494,-2248850.4615373546,24760.774180793596,24007.430020844346,-25478.684394780455,489.75319803925635,Alabama_5-14 years,1970-01-01 00:00:00.000002040,-0.275841119742827,-0.7434546793259279,-12,-2294812.100628616,-1.0612832932412466,4868,0.0181437138219348,1,pending,30893.990927079107
